,Measured angle,Predicted angle
0,39.63829605600478,42.98
1,50.98944869033576,50.7
2,70.2832520460355,67.93
3,64.29419727898096,62.91
4,89.13978448811285,79.86
5,20.38956854984345,28.1
6,17.12074910516217,53.77
7,54.03208820531747,59.58
8,43.32791117303877,65.1
9,67.9248428961233,63.18
10,12.42121278217294,68.29
11,29.77032121224032,30.02
12,52.394649245931596,56.76
13,28.719522970332036,25.02
14,59.107955140115166,54.91
15,54.33472494585495,45.72
16,60.547342831561885,52.66
17,24.4881167909715,23.53
18,67.4585522205809,67.83
19,49.84126240109805,57.0
20,51.29206981526584,55.0
21,45.462259389509164,31.39
22,79.20359486674148,78.13
23,24.23720912939916,38.37
24,48.35778314973653,49.82
25,32.93878941000211,44.53
26,43.20471633922624,37.76
27,56.993654559024904,52.35
28,39.844248393767856,37.11
29,34.12733070518812,34.73
30,33.114153142027085,37.83
31,35.15223819999828,35.97
32,57.133506242574526,60.19
33,46.90241676088576,42.5
34,58.79749198846798,53.34
35,113.4815119635027,63.86
36,23.520864959004754,24.9
37,37.20444331400742,36.87
38,59.600563762043215,55.17
39,59.59460206723522,61.19
40,66.60317504404453,59.55
41,69.80666373347354,63.32
42,50.966703445074565,56.41
43,51.92266897668045,53.38
44,54.62594975059978,48.81
45,41.84509352942744,51.06
46,19.24605011375238,29.44
47,40.44659238888285,38.97
48,68.90522663405255,60.13
49,87.63900691352137,88.44
50,17.655210224290663,32.75
51,22.378907809090563,27.45
52,61.943894098392015,61.56
53,47.125249470865036,49.93
54,26.28518301639154,24.67
55,102.38606034018265,78.11
56,16.200214723528035,63.11
57,26.43543044049479,43.31
58,23.20589386373403,60.23
59,50.823116681173204,42.07
60,49.07606294557999,46.91
61,48.38279936022868,40.65
62,32.20376745479393,30.8
63,69.77464394329202,68.79
64,36.40646153313408,34.25
65,51.4661227759568,37.67
66,46.26549555788722,48.36
67,85.43581901081618,51.38
68,47.984248736141765,55.33
69,51.74299285993353,51.87
70,51.21509236799614,52.2
71,49.52552798358768,48.29
72,43.81722758698863,47.12
73,31.118721534706868,30.66
74,47.74690931129634,44.09
75,63.22367840420092,56.59
76,55.598301911516586,44.3
77,56.16627065099059,49.74
78,57.89294910574797,48.32
79,31.897125658083695,32.49
80,68.57952249687226,53.17
81,45.20853630577719,40.88
82,43.00643524170453,38.95
83,50.548204858538384,50.86
84,48.77705938264882,35.46
85,38.73465293235584,43.18
86,48.315915443046826,38.59
87,49.27986733779445,48.38
88,42.02662716349578,36.39
89,51.48848999900111,42.95
90,74.06007301410295,76.6
91,42.295678768076726,41.61
92,63.784685042189274,44.31
93,28.298250846328923,23.51
94,49.613532644313594,39.8
95,31.870184088880645,30.93
96,48.343435057139736,47.17
97,63.67001296547379,62.94
98,46.79252670559117,42.58
99,47.11386189475603,40.54
100,53.64024430880122,53.32
101,23.001241354328414,47.48
102,70.46404192467284,52.33
103,53.61909117271276,54.88
104,67.845554642061,53.95
105,33.59843668573454,38.73
106,58.16304140928649,50.06
107,63.029643732729355,53.78
108,58.73630430645347,63.28
109,46.309735895063874,41.02
110,36.27381195458848,35.9
111,27.814851101205846,29.03
112,36.54757647382432,32.09
113,33.66472034283075,20.03
114,47.26617474497092,36.09
115,51.615267838964506,51.02
116,42.56296860381768,46.19
117,31.047373081578833,29.48
118,39.364556443863044,38.07
119,25.3149289249617,35.37
120,39.367392777480475,34.4
121,31.609677083391524,38.24
122,45.49167011628262,36.35
123,54.29119427162893,62.9
124,68.08936576668397,64.49
125,58.98899462593763,48.84
126,67.4752626309277,60.63
127,54.550200107773726,57.75
128,69.90440759987526,66.25
129,56.04914904592637,48.97
130,96.90790183998645,90.93
131,31.692739733801425,31.19
132,53.86575316498821,57.13
133,45.63793743945154,47.46
134,45.93819854129843,48.11
135,46.11015441359525,78.56
136,40.832886967607855,66.93
137,49.36110314213723,53.21
138,37.52220667781707,48.62
