,Measured angle,Predicted angle
0,52.77406772876928,61.54
1,27.236305432913504,24.39
2,61.65354929725856,61.05
3,52.64814225783498,49.52
4,32.31633625838184,24.48
5,43.72092284651989,39.14
6,51.25312813438048,50.78
7,17.374071448949586,39.82
8,30.02132759653434,40.16
9,47.98414255679906,45.2
10,42.323595338492126,35.62
11,45.010632736090244,48.06
12,37.731598734088344,31.19
13,26.960001957847464,26.77
14,38.890229965785984,34.46
15,54.850442893971945,60.9
16,35.35025698788287,36.57
17,18.059635009821243,38.12
18,85.27945438078507,94.96
19,92.7423411310911,98.04
20,101.26222291346085,101.39
21,83.85848320807165,79.93
22,85.92394859245987,84.02
23,45.25263177212382,34.92
24,38.73222661463332,33.94
25,49.663066405472655,42.31
26,51.57273391636643,52.27
27,58.453088883527826,49.23
28,68.38648878971414,69.42
29,58.183285786841694,54.6
30,67.38402773502645,60.15
31,44.621760253924606,30.43
32,37.96291151555266,33.08
33,48.6847927788346,49.42
34,24.403740003584538,24.34
35,75.30787436268973,75.19
36,28.079670473640363,26.79
37,40.08313515818248,47.95
38,60.2290292392996,44.5
39,34.97003840437399,29.0
40,52.252604468355045,46.52
41,42.283980699271986,31.37
42,42.22521492568192,41.65
43,47.89457095696991,46.61
44,38.915270176302016,35.39
45,40.05635543600351,24.09
46,73.46948898466779,84.45
47,70.57731570565797,73.16
48,33.76402338261252,29.69
49,22.290220795528505,25.05
50,36.3664064571504,36.26
51,51.873114155211645,40.03
52,23.67692936350999,42.85
53,27.48861443640966,37.53
54,38.44695808838438,23.81
55,27.611652305566317,52.33
56,40.78764562107582,42.74
57,60.888465858939085,52.96
58,33.525629884859256,39.67
59,46.27417983667335,58.15
60,52.931333579308344,75.61
61,67.40827848685844,71.78
62,61.828816024298746,53.97
63,84.84425255778967,84.78
64,59.0483070779475,58.54
65,106.76804455252261,103.24
66,28.73089674641728,33.14
67,32.47315044637269,60.37
68,50.910303751478274,54.8
69,61.92735909077872,57.7
70,59.835534639878425,50.55
71,34.23426963996953,31.15
72,39.979144114253,38.1
73,49.427931186144804,45.71
74,40.63946822609906,37.98
75,33.871689666639824,37.88
76,51.433070527509024,47.13
77,27.680960592626374,41.39
78,51.3529149056097,52.76
79,55.094463223212415,53.07
80,88.90775011063504,83.43
81,52.660275832528924,42.69
82,30.760720374708786,27.93
83,41.4949065106008,37.57
84,39.3951933107143,37.55
85,75.41789648221034,67.75
86,67.09760308319584,62.88
87,38.35871607466402,32.55
88,61.027633288871435,54.9
89,41.455831664302224,37.26
90,53.541260449959665,52.4
91,38.120981573117696,41.02
92,39.927289229465295,35.9
93,49.53804118153253,43.0
94,45.52710408064463,31.59
95,41.00876500846891,39.06
96,52.119514492161144,51.69
97,46.22612764208483,48.24
98,38.659166732096345,28.0
99,15.736698055142488,41.41
100,31.921042934301543,39.31
101,32.943007039454116,52.2
102,41.429445141622935,47.16
103,54.70036355453854,59.75
104,74.18498903871667,71.37
105,72.67504694107627,72.33
106,52.75576364744909,53.78
107,48.82816499803764,36.83
108,54.92283713433302,50.26
109,58.26378081049745,58.65
110,70.98369837400872,73.71
111,62.00451927617281,79.94
112,44.83712082958587,47.19
113,52.15987272503453,55.71
114,27.902815889004234,27.6
115,35.02468810855129,32.0
116,35.749003570113274,35.87
117,53.64036360501105,46.83
118,37.74678546123067,36.26
119,55.7009057492365,55.1
120,35.61858367480379,38.64
121,40.17565572634071,44.94
122,45.744575210913766,48.99
123,39.79252677454505,41.99
124,30.910905860767816,30.5
125,34.84713566753174,36.6
126,34.44246037617563,35.32
127,32.97425491377594,36.35
128,47.76444474877485,37.18
129,25.09227783623096,35.72
130,40.8104245171109,45.3
131,29.5216904839734,24.83
132,25.605798729747807,24.62
133,43.97437641796481,50.86
134,57.41885287328726,59.22
135,44.275276510230775,39.49
136,28.104968950018264,30.82
137,28.71504681860769,47.61
138,41.96221393574026,43.42
139,22.412048393971524,28.59
140,45.37500793602309,45.21
141,34.54167563876734,43.37
142,34.95508140290611,40.38
143,26.75659540265986,37.16
144,31.217708877220765,28.1
145,64.4539183984503,58.28
146,36.48783703369193,37.13
147,23.845216157766888,30.71
148,36.479478004401855,35.34
149,41.701424081501244,41.56
150,52.646644167592584,48.1
151,69.53251382946316,53.02
152,35.75526408884553,34.28
153,39.42568190082292,46.33
154,36.848794494641666,30.56
155,80.45973068695581,82.83
156,44.86642336396488,43.06
157,21.185640042151565,21.41
158,53.56658666577562,58.28
159,72.04684918305738,78.18
160,70.08311671312654,60.93
161,31.0072619861976,32.79
162,52.29202385786929,44.07
163,57.339258143370095,59.53
164,29.63938909609286,28.05
165,29.849482489835943,55.7
166,49.98360900604978,46.09
167,44.983742420652874,50.1
168,40.84687916659077,56.4
