,Measured angle,Predicted angle
0,32.96933543635991,42.6
1,64.7323406834327,53.33
2,90.23575624473696,84.85
3,44.30873896510012,36.67
4,31.516946723858283,33.8
5,33.36141757434949,36.96
6,42.526260014581844,42.98
7,56.986482990828215,50.7
8,70.11853154847243,67.93
9,92.32453339923791,79.86
10,19.357844729573817,53.77
11,51.666896105182566,43.6
12,48.23257701359252,65.1
13,40.77822584149557,49.93
14,59.93565431343914,61.54
15,30.491583094077644,24.39
16,40.31487601007879,30.68
17,65.19435465278917,54.26
18,42.673587688654926,40.19
19,36.6958714821953,36.29
20,34.544195860449925,24.48
21,48.094790771571006,39.14
22,56.939756868664325,50.78
23,69.87150528978836,63.18
24,15.578116338581287,39.82
25,54.56099891537207,54.91
26,67.86395439274091,68.08
27,56.832036210244475,45.72
28,63.61074970180332,52.66
29,40.8284958022536,31.19
30,30.45031286075401,26.77
31,56.885038633938414,55.0
32,45.17855929985091,31.39
33,60.589134313819144,57.01
34,64.0047686682245,58.33
35,48.16850354707686,45.63
36,81.92775408793815,78.13
37,91.58153475832218,85.57
38,36.445667558251316,44.53
39,92.68568791278383,94.96
40,105.46962785143903,98.04
41,108.28541919179885,101.39
42,55.09723388821331,43.4
43,88.5403746026557,79.93
44,43.24535928224857,37.11
45,35.06216323760591,34.73
46,37.019138781709565,37.83
47,29.001935979002287,35.97
48,40.9017644201751,34.36
49,49.84583722799942,42.5
50,116.4986818664443,63.86
51,64.46408756321397,63.43
52,82.80768789343321,60.62
53,43.029128970391255,36.87
54,67.21534478083649,55.17
55,74.16843866303513,61.19
56,42.1101410908945,48.71
57,67.43498949325173,59.55
58,56.43212897230732,53.38
59,47.56418992633789,51.06
60,22.905107390000992,29.44
61,44.3963946140229,38.97
62,86.17041356520772,88.44
63,29.377830072926752,24.67
64,46.53802759717892,37.43
65,32.37009841767061,27.6
66,50.04213467219751,43.73
67,40.0931240710036,39.27
68,73.39137513871738,61.57
69,53.00396682529092,42.31
70,61.550046786208476,52.27
71,60.328459945847065,49.23
72,70.07255515118922,69.42
