,Measured angle,Predicted angle
0,32.12240210765586,42.6
1,57.03987817026578,53.33
2,85.97399732636957,84.85
3,57.439829976606134,60.93
4,36.90877058367365,36.67
5,27.42165543620881,33.8
6,53.45929899528799,62.64
7,78.88707753372393,49.75
8,35.81217867564381,36.96
9,39.63829605600478,42.98
10,50.98944869033576,50.7
11,70.2832520460355,67.93
12,64.29419727898096,62.91
13,89.13978448811285,79.86
14,20.38956854984345,28.1
15,17.12074910516217,53.77
16,54.03208820531747,59.58
17,43.32791117303877,65.1
18,37.06586422298668,49.93
19,54.24237707015921,56.68
20,52.77406772876928,61.54
21,27.236305432913504,24.39
22,61.65354929725856,61.05
23,52.64814225783498,49.52
24,37.57788757424721,30.68
25,61.48874016822401,54.26
26,37.356169083193905,40.19
27,32.07940211028427,36.29
28,32.31633625838184,24.48
29,43.72092284651989,39.14
30,59.20918386240333,52.64
31,39.38586624883979,41.31
32,51.25312813438048,50.78
33,67.9248428961233,63.18
34,12.42121278217294,68.29
35,29.77032121224032,30.02
36,17.374071448949586,39.82
37,30.02132759653434,40.16
38,47.98414255679906,45.2
39,42.323595338492126,35.62
40,52.394649245931596,56.76
41,28.719522970332036,25.02
42,59.107955140115166,54.91
43,36.758410445010135,36.62
44,66.38940073711844,68.08
45,54.33472494585495,45.72
46,60.547342831561885,52.66
47,24.4881167909715,23.53
48,45.010632736090244,48.06
49,37.731598734088344,31.19
50,26.960001957847464,26.77
51,38.890229965785984,34.46
52,67.4585522205809,67.83
53,49.84126240109805,57.0
54,51.29206981526584,55.0
55,45.462259389509164,31.39
56,58.097912131178035,57.01
57,76.86309299052029,65.64
58,59.855196094765546,58.33
59,79.20359486674148,78.13
60,24.23720912939916,38.37
61,48.35778314973653,49.82
62,54.850442893971945,60.9
63,35.35025698788287,36.57
64,18.059635009821243,38.12
65,32.93878941000211,44.53
66,43.20471633922624,37.76
67,56.993654559024904,52.35
68,43.70798766722134,35.84
69,57.83585629880392,55.27
70,85.27945438078507,94.96
71,92.7423411310911,98.04
72,101.26222291346085,101.39
73,83.85848320807165,79.93
74,85.92394859245987,84.02
75,39.844248393767856,37.11
76,34.12733070518812,34.73
77,33.114153142027085,37.83
78,35.15223819999828,35.97
79,34.91056543387324,34.36
80,46.46066678752473,48.17
81,76.08263672880831,77.66
82,57.133506242574526,60.19
83,46.90241676088576,42.5
84,58.79749198846798,53.34
85,113.4815119635027,63.86
86,70.10336833410446,63.43
87,49.92606601599726,60.62
88,23.520864959004754,24.9
89,37.20444331400742,36.87
90,59.600563762043215,55.17
91,59.59460206723522,61.19
92,66.60317504404453,59.55
93,69.80666373347354,63.32
94,50.966703445074565,56.41
95,51.92266897668045,53.38
